fecha	pasos	diasemana	numerosemana	dia	mes	año	estacion	cuarentena	findesemana
12/6/2019	8.668	miercoles	24	12	junio	2019	otoño	no	no
13/6/2019	10.892	jueves	24	13	junio	2019	otoño	no	no
14/6/2019	10.671	viernes	24	14	junio	2019	otoño	no	no
15/6/2019	424	sabado	24	15	junio	2019	otoño	no	si
16/6/2019	2.548	domingo	24	16	junio	2019	otoño	no	si
17/6/2019	1.373	lunes	25	17	junio	2019	otoño	no	no
18/6/2019	11.403	martes	25	18	junio	2019	otoño	no	no
19/6/2019	11.922	miercoles	25	19	junio	2019	otoño	no	no
20/6/2019	2.827	jueves	25	20	junio	2019	otoño	no	no
21/6/2019	13.098	viernes	25	21	junio	2019	invierno	no	no
22/6/2019	3.010	sabado	25	22	junio	2019	invierno	no	si
23/6/2019	938	domingo	25	23	junio	2019	invierno	no	si
24/6/2019	8.769	lunes	26	24	junio	2019	invierno	no	no
25/6/2019	6.856	martes	26	25	junio	2019	invierno	no	no
26/6/2019	8.865	miercoles	26	26	junio	2019	invierno	no	no
27/6/2019	7.461	jueves	26	27	junio	2019	invierno	no	no
28/6/2019	7.495	viernes	26	28	junio	2019	invierno	no	no
29/6/2019	1.177	sabado	26	29	junio	2019	invierno	no	si
30/6/2019	1.109	domingo	26	30	junio	2019	invierno	no	si
1/7/2019	6.593	lunes	27	1	julio	2019	invierno	no	no
2/7/2019	8.450	martes	27	2	julio	2019	invierno	no	no
3/7/2019	6.154	miercoles	27	3	julio	2019	invierno	no	no
4/7/2019	8.930	jueves	27	4	julio	2019	invierno	no	no
5/7/2019	6.460	viernes	27	5	julio	2019	invierno	no	no
6/7/2019	1.525	sabado	27	6	julio	2019	invierno	no	si
7/7/2019	2.678	domingo	27	7	julio	2019	invierno	no	si
8/7/2019	3.495	lunes	28	8	julio	2019	invierno	no	no
9/7/2019	3.890	martes	28	9	julio	2019	invierno	no	no
10/7/2019	6.271	miercoles	28	10	julio	2019	invierno	no	no
11/7/2019	8.837	jueves	28	11	julio	2019	invierno	no	no
12/7/2019	7.334	viernes	28	12	julio	2019	invierno	no	no
13/7/2019	392	sabado	28	13	julio	2019	invierno	no	si
14/7/2019	2.462	domingo	28	14	julio	2019	invierno	no	si
15/7/2019	6.909	lunes	29	15	julio	2019	invierno	no	no
16/7/2019	7.010	martes	29	16	julio	2019	invierno	no	no
17/7/2019	6.567	miercoles	29	17	julio	2019	invierno	no	no
18/7/2019	13.801	jueves	29	18	julio	2019	invierno	no	no
19/7/2019	8.091	viernes	29	19	julio	2019	invierno	no	no
20/7/2019	5.610	sabado	29	20	julio	2019	invierno	no	si
21/7/2019	2.206	domingo	29	21	julio	2019	invierno	no	si
22/7/2019	4.233	lunes	30	22	julio	2019	invierno	no	no
23/7/2019	949	martes	30	23	julio	2019	invierno	no	no
24/7/2019	3.153	miercoles	30	24	julio	2019	invierno	no	no
25/7/2019	3.205	jueves	30	25	julio	2019	invierno	no	no
26/7/2019	1.939	viernes	30	26	julio	2019	invierno	no	no
27/7/2019	5.177	sabado	30	27	julio	2019	invierno	no	si
28/7/2019	3.048	domingo	30	28	julio	2019	invierno	no	si
29/7/2019	3.966	lunes	31	29	julio	2019	invierno	no	no
30/7/2019	9.061	martes	31	30	julio	2019	invierno	no	no
31/7/2019	9.041	miercoles	31	31	julio	2019	invierno	no	no
1/8/2019	8.396	jueves	31	1	agosto	2019	invierno	no	no
2/8/2019	6.856	viernes	31	2	agosto	2019	invierno	no	no
3/8/2019	4.059	sabado	31	3	agosto	2019	invierno	no	si
4/8/2019	5.181	domingo	31	4	agosto	2019	invierno	no	si
5/8/2019	8.617	lunes	32	5	agosto	2019	invierno	no	no
6/8/2019	7.036	martes	32	6	agosto	2019	invierno	no	no
7/8/2019	8.470	miercoles	32	7	agosto	2019	invierno	no	no
8/8/2019	6.009	jueves	32	8	agosto	2019	invierno	no	no
9/8/2019	12.312	viernes	32	9	agosto	2019	invierno	no	no
10/8/2019	1.980	sabado	32	10	agosto	2019	invierno	no	si
11/8/2019	4.296	domingo	32	11	agosto	2019	invierno	no	si
12/8/2019	8.373	lunes	33	12	agosto	2019	invierno	no	no
13/8/2019	7.937	martes	33	13	agosto	2019	invierno	no	no
